Run,geographic_location_(country_and/or_sea region)
ERR480708,France
ERR475526,France
ERR479000,France
ERR479001,France
ERR479002,France
ERR479003,France
ERR480496,France
ERR480497,France
ERR480498,France
ERR480499,France
ERR479037,France
ERR479038,France
ERR480533,France
ERR480534,France
ERR475527,France
ERR479065,France
ERR479066,France
ERR480561,France
ERR480562,France
ERR475528,France
ERR479088,France
ERR479089,France
ERR479090,France
ERR480584,France
ERR480585,France
ERR480586,France
ERR475529,France
ERR479115,France
ERR479116,France
ERR479117,France
ERR480611,France
ERR480612,France
ERR480613,France
ERR475530,France
ERR479382,France
ERR479383,France
ERR480878,France
ERR480879,France
ERR475531,France
ERR479302,France
ERR479303,France
ERR480798,France
ERR480799,France
ERR475532,France
ERR479148,France
ERR479149,France
ERR480644,France
ERR480645,France
ERR475533,France
ERR479415,France
ERR479416,France
ERR480911,France
ERR480912,France
ERR475534,France
ERR478990,France
ERR478991,France
ERR478992,France
ERR478993,France
ERR480486,France
ERR480487,France
ERR480488,France
ERR480489,France
ERR475535,France
ERR479217,France
ERR479218,France
ERR480713,France
ERR480714,France
ERR475536,France
ERR479207,France
ERR479208,France
ERR480703,France
ERR480704,France
ERR479343,France
ERR479344,France
ERR479345,France
ERR480839,France
ERR480840,France
ERR480841,France
ERR475537,France
ERR479136,France
ERR479137,France
ERR480632,France
ERR480633,France
ERR475538,France
ERR479122,France
ERR479123,France
ERR480618,France
ERR480619,France
ERR475539,France
ERR479199,France
ERR479200,France
ERR480695,France
ERR480696,France
ERR479254,France
ERR480750,France
ERR475540,France
ERR479359,France
ERR479360,France
ERR479361,France
ERR480855,France
ERR480856,France
ERR480857,France
ERR475541,France
ERR479077,France
ERR479078,France
ERR480573,France
ERR480574,France
ERR475542,France
ERR479187,France
ERR479188,France
ERR479189,France
ERR480683,France
ERR480684,France
ERR480685,France
ERR475543,France
ERR479105,France
ERR479106,France
ERR480601,France
ERR480602,France
ERR475544,France
ERR479327,France
ERR479328,France
ERR480823,France
ERR480824,France
ERR475545,France
ERR479043,France
ERR479044,France
ERR480539,France
ERR480540,France
ERR475546,France
ERR479012,France
ERR479013,France
ERR480508,France
ERR480509,France
ERR475547,France
ERR479223,France
ERR479224,France
ERR480719,France
ERR480720,France
ERR475548,France
ERR479417,France
ERR479418,France
ERR480913,France
ERR480914,France
ERR475549,France
ERR479150,France
ERR479151,France
ERR479152,France
ERR479153,France
ERR480646,France
ERR480647,France
ERR480648,France
ERR480649,France
ERR475550,France
ERR478964,France
ERR478965,France
ERR478966,France
ERR478967,France
ERR480460,France
ERR480461,France
ERR480462,France
ERR480463,France
ERR475551,France
ERR479162,France
ERR479163,France
ERR479164,France
ERR480658,France
ERR480659,France
ERR480660,France
ERR475552,France
ERR479006,France
ERR479007,France
ERR479008,France
ERR479009,France
ERR480502,France
ERR480503,France
ERR480504,France
ERR480505,France
ERR475553,France
ERR479245,France
ERR479246,France
ERR479247,France
ERR479248,France
ERR480741,France
ERR480742,France
ERR480743,France
ERR480744,France
ERR475554,France
ERR479409,France
ERR479410,France
ERR479411,France
ERR479412,France
ERR480905,France
ERR480906,France
ERR480907,France
ERR480908,France
ERR475555,France
ERR479335,France
ERR479336,France
ERR479337,France
ERR479338,France
ERR480831,France
ERR480832,France
ERR480833,France
ERR480834,France
ERR475556,France
ERR479103,France
ERR479104,France
ERR480599,France
ERR480600,France
ERR479111,France
ERR479112,France
ERR479113,France
ERR479114,France
ERR480607,France
ERR480608,France
ERR480609,France
ERR480610,France
ERR475557,France
ERR479029,France
ERR479030,France
ERR479031,France
ERR479032,France
ERR480525,France
ERR480526,France
ERR480527,France
ERR480528,France
ERR475558,France
ERR479154,France
ERR479155,France
ERR479156,France
ERR480650,France
ERR480651,France
ERR480652,France
ERR475559,France
ERR479227,France
ERR479228,France
